trial_index,seed,gallery_images_per_identity,identity_count,probe_count,gallery_image_count,top_1,top_3,top_5,top_10,mrr,mean_true_identity_rank,median_true_identity_rank
16,20260841,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921951219512196,1.1951219512195121,1.0
16,20260841,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921602787456446,1.2195121951219512,1.0
16,20260841,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921602787456446,1.2195121951219512,1.0
17,20260842,1,123,123,123,0.9349593495934959,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9439594239227241,4.691056910569106,1.0
17,20260842,2,123,123,246,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921321793863099,1.2439024390243902,1.0
17,20260842,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921239837398373,1.2520325203252032,1.0
17,20260842,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922234004948745,1.1788617886178863,1.0
17,20260842,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921951219512196,1.1951219512195121,1.0
18,20260843,1,123,123,123,0.9349593495934959,0.959349593495935,0.959349593495935,0.959349593495935,0.9479323977425489,3.983739837398374,1.0
18,20260843,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841654506288652,1.7804878048780488,1.0
18,20260843,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.984323336056327,1.4715447154471544,1.0
18,20260843,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842700600919052,1.5447154471544715,1.0
18,20260843,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842276422764228,1.5934959349593496,1.0
